seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
29,sub-03,dinov2,10,10,0.05850000000000001,0.008834905520465714
29,sub-03,dinov2,20,10,0.0815,0.014151953143569186
29,sub-03,dinov2,40,10,0.096,0.008432740427115677
29,sub-03,dinov2,80,1,0.11,0.0
29,sub-04,cornet-s,1,10,0.025500000000000002,0.009264628073124864
29,sub-04,cornet-s,2,10,0.049,0.010488088481701517
29,sub-04,cornet-s,5,10,0.079,0.016633299933166198
29,sub-04,cornet-s,10,10,0.11199999999999999,0.011105554165971787
29,sub-04,cornet-s,20,10,0.136,0.01308094458023239
29,sub-04,cornet-s,40,10,0.1595,0.01141392911217596
29,sub-04,cornet-s,80,1,0.15,0.0
29,sub-04,dinov2,1,10,0.025500000000000002,0.00895978670381041
29,sub-04,dinov2,2,10,0.030500000000000006,0.011654755824698059
29,sub-04,dinov2,5,10,0.06399999999999999,0.014102797200870789
29,sub-04,dinov2,10,10,0.061,0.012202003478482085
29,sub-04,dinov2,20,10,0.08049999999999999,0.016236105170610072
29,sub-04,dinov2,40,10,0.081,0.008096638534327412
29,sub-04,dinov2,80,1,0.08,0.0
29,sub-05,cornet-s,1,10,0.0245,0.008316649966583099
29,sub-05,cornet-s,2,10,0.033499999999999995,0.009143911149563469
29,sub-05,cornet-s,5,10,0.055999999999999994,0.013904435743076142
29,sub-05,cornet-s,10,10,0.06200000000000001,0.010055402085998904
29,sub-05,cornet-s,20,10,0.07699999999999999,0.008881941729649484
29,sub-05,cornet-s,40,10,0.075,0.012247448713915893
29,sub-05,cornet-s,80,1,0.085,0.0
29,sub-05,dinov2,1,10,0.023000000000000003,0.011105554165971789
29,sub-05,dinov2,2,10,0.019999999999999997,0.007453559924999299
29,sub-05,dinov2,5,10,0.03350000000000001,0.01203005495507906
29,sub-05,dinov2,10,10,0.03799999999999999,0.013165611772087667
29,sub-05,dinov2,20,10,0.05,0.006666666666666666
29,sub-05,dinov2,40,10,0.051500000000000004,0.009442810316143531
29,sub-05,dinov2,80,1,0.055,0.0
29,sub-06,cornet-s,1,10,0.028500000000000004,0.010287532908007309
29,sub-06,cornet-s,2,10,0.053000000000000005,0.015491933384829668
29,sub-06,cornet-s,5,10,0.091,0.01760681686165901
29,sub-06,cornet-s,10,10,0.1085,0.02550054465649269
29,sub-06,cornet-s,20,10,0.14350000000000002,0.019010231163478494
29,sub-06,cornet-s,40,10,0.16299999999999998,0.011105554165971785
29,sub-06,cornet-s,80,1,0.165,0.0
29,sub-06,dinov2,1,10,0.023,0.008563488385776752
29,sub-06,dinov2,2,10,0.03350000000000001,0.008514693182963202
29,sub-06,dinov2,5,10,0.053000000000000005,0.01206464071390257
29,sub-06,dinov2,10,10,0.0665,0.015465014279549393
29,sub-06,dinov2,20,10,0.08600000000000001,0.017126976771553504
29,sub-06,dinov2,40,10,0.094,0.008096638534327412
29,sub-06,dinov2,80,1,0.08,0.0
29,sub-07,cornet-s,1,10,0.029500000000000005,0.009559753599799992
29,sub-07,cornet-s,2,10,0.041999999999999996,0.01567021236472421
29,sub-07,cornet-s,5,10,0.07250000000000001,0.0196143371598997
29,sub-07,cornet-s,10,10,0.0995,0.021272047386182647
29,sub-07,cornet-s,20,10,0.1295,0.012122064363978788
29,sub-07,cornet-s,40,10,0.14,0.010274023338281625
