seed,participant,stage,predecessor,baseline_id,semantic_source,preprocessing,ridge_alpha,retrieval,candidate_count,metric,score,change_from_predecessor,change_from_baseline,configuration_hash
29,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.325,0.0,0.015000000000000013,8f8edbb06f6b54f3
29,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.155,-0.0050000000000000044,0.06,df74b86a16df9bb3
29,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.47,-0.0050000000000000044,0.19499999999999995,df74b86a16df9bb3
29,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.155,-0.01999999999999999,0.06,8f8edbb06f6b54f3
29,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.36,-0.015000000000000013,0.08499999999999996,8f8edbb06f6b54f3
29,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.18,-0.0050000000000000044,0.07999999999999999,c36cd53c68e3f4c5
29,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.42,0.010000000000000009,0.13,c36cd53c68e3f4c5
29,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-1_center-1,1000.0,cosine,200,top1_accuracy,0.1,0.0,0.0,78d1d7c4cc4f4ec4
29,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-1_center-1,1000.0,cosine,200,top5_accuracy,0.29,-0.0050000000000000044,0.0,78d1d7c4cc4f4ec4
29,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.0050000000000000044,0.08499999999999999,c36cd53c68e3f4c5
29,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.48,-0.040000000000000036,0.13999999999999996,c36cd53c68e3f4c5
29,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.14,0.0,0.04000000000000001,4ea334315e5ce841
29,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.38,0.0,0.03999999999999998,4ea334315e5ce841
43,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.13,-0.010000000000000009,0.045,c42cb7e6b927ed07
43,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.445,-0.024999999999999967,0.125,c42cb7e6b927ed07
43,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.16,-0.010000000000000009,0.075,c2905ccfcc81a987
43,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.435,0.0,0.11499999999999999,c2905ccfcc81a987
43,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,0.0050000000000000044,0.08500000000000002,c42cb7e6b927ed07
43,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.0050000000000000044,0.12,c42cb7e6b927ed07
43,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,-0.014999999999999986,0.08500000000000002,eb1653f81d9192e5
43,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.415,-0.025000000000000022,0.13999999999999996,eb1653f81d9192e5
43,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.145,0.004999999999999977,0.07999999999999999,c42cb7e6b927ed07
43,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.010000000000000009,0.10000000000000003,c42cb7e6b927ed07
43,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.015000000000000013,0.12,eb1653f81d9192e5
43,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.43,-0.015000000000000013,0.135,eb1653f81d9192e5
