seed,participant,semantic_source,s0_reference_mean,s2_reference_mean,s2_minus_s0,s2_retained,s3_reference_mean,s3_minus_s2,s3_retained
71,sub-02,dinov2,0.01711030449687437,0.020193631254548164,0.0030833267576737926,True,0.020193631254548164,0.0,False
71,sub-03,cornet-s,0.019226461330738142,0.03252967814338445,0.013303216812646308,True,0.03252967814338445,0.0,False
71,sub-03,dinov2,0.018260825727487134,0.021767515365124456,0.0035066896376373217,True,0.021767515365124456,0.0,False
71,sub-04,cornet-s,0.020072858307688263,0.032527157473894626,0.012454299166206363,True,0.03591296457034641,0.0033858070964517817,True
71,sub-04,dinov2,0.0195906432748538,0.02436479128856624,0.00477414801371244,True,0.02436479128856624,0.0,False
71,sub-05,cornet-s,0.014994586040313175,0.024668696353577598,0.009674110313264423,True,0.027328002665334,0.002659306311756402,True
71,sub-05,dinov2,0.015295751247183425,0.01904519231612264,0.0037494410689392164,True,0.01904519231612264,0.0,False
71,sub-06,cornet-s,0.02249039953707357,0.0365777637497041,0.014087364212630526,True,0.03687991530550514,0.0003021515558010446,True
71,sub-06,dinov2,0.01850138527227614,0.024850951717123895,0.006349566444847753,True,0.024850951717123895,0.0,False
71,sub-07,cornet-s,0.024486879367333875,0.039479821492762385,0.01499294212542851,True,0.04171806640539379,0.0022382449126314083,True
71,sub-07,dinov2,0.018864800056112296,0.024849088613587946,0.00598428855747565,True,0.02781197120737876,0.002962882593790815,True
71,sub-08,cornet-s,0.02962597648544149,0.04818413161840133,0.018558155132959837,True,0.055017228227991266,0.006833096609589938,True
71,sub-08,dinov2,0.027328879419939153,0.032287803466687706,0.004958924046748553,True,0.03476584076382861,0.0024780372971409045,True
71,sub-09,cornet-s,0.017713730853871307,0.028355230279597046,0.010641499425725738,True,0.029382896271162667,0.0010276659915656218,True
71,sub-09,dinov2,0.01735294633385062,0.018804413582682342,0.001451467248831724,True,0.018804413582682342,0.0,False
71,sub-10,cornet-s,0.031015303751632955,0.04745916515426498,0.016443861402632026,True,0.05211451291897911,0.0046553477647141295,True
71,sub-10,dinov2,0.02497128628668122,0.031078430083204014,0.0061071437965227945,True,0.034463689208027566,0.0033852591248235524,True
101,sub-01,cornet-s,0.02110052429925388,0.032890353069079496,0.011789828769825615,True,0.032890353069079496,0.0,False
101,sub-01,dinov2,0.018260496944510204,0.023820984244719744,0.005560487300209541,True,0.023820984244719744,0.0,False
101,sub-02,cornet-s,0.018923980991960163,0.027752571082879613,0.00882859009091945,True,0.03016967393496234,0.002417102852082728,True
101,sub-02,dinov2,0.015842188554845385,0.019287834153098888,0.003445645598253503,True,0.019287834153098888,0.0,False
101,sub-03,cornet-s,0.019892027670375335,0.03149762837879306,0.011605600708417724,True,0.03149762837879306,0.0,False
101,sub-03,dinov2,0.018924638557914025,0.02243067062959748,0.003506032071683457,True,0.02243067062959748,0.0,False
101,sub-04,cornet-s,0.021462075979554084,0.033129816670612065,0.011667740691057981,True,0.03742196884014134,0.004292152169529273,True
101,sub-04,dinov2,0.0188043039883567,0.02436544885452011,0.005561144866163409,True,0.027570315719333317,0.003204866864813208,True
101,sub-05,cornet-s,0.016022361626204438,0.023822408970953123,0.007800047344748685,True,0.028537814426120273,0.004715405455167149,True
101,sub-05,dinov2,0.01154674855554679,0.016868429820177628,0.005321681264630838,True,0.016868429820177628,0.0,False
101,sub-06,cornet-s,0.022249072832005046,0.03609390480198497,0.013844831969979921,True,0.03609390480198497,0.0,False
101,sub-06,dinov2,0.018258962623951182,0.02515047300910948,0.006891510385158298,True,0.02515047300910948,0.0,False
101,sub-07,cornet-s,0.025755981658293663,0.03633654663896122,0.010580564980667558,True,0.03881546069070727,0.0024789140517460506,True
101,sub-07,dinov2,0.019467678441481017,0.02503046722252909,0.0055627887810480725,True,0.02503046722252909,0.0,False
101,sub-08,cornet-s,0.027871919303506142,0.04927645826209701,0.02140453895859087,True,0.05610714379652279,0.0068306855344257775,True
101,sub-08,dinov2,0.02557416467204994,0.030532431152844635,0.004958266480794695,True,0.03464583497724822,0.004113403824403585,True
101,sub-09,cornet-s,0.0166263359548296,0.026906174105929492,0.010279838151099892,True,0.02962597648544149,0.0027198023795119985,True
101,sub-09,dinov2,0.015478006610729721,0.017957797417080933,0.0024797908063512123,True,0.017957797417080933,0.0,False
101,sub-10,cornet-s,0.030049120176753725,0.04830895955531006,0.018259839378556336,True,0.05121079810971707,0.0029018385544070102,True
