seed,participant,repetitions,mean_similarity_to_80,mean_feature_variance,first_last_40_similarity
71,sub-02,80,1.0,0.019222357179936558,0.767749791254663
71,sub-03,1,0.43801462327178387,0.44804569402120265,0.8964050337183588
71,sub-03,2,0.5794625008705049,0.21935338565464982,0.8964050337183588
71,sub-03,5,0.747613073563152,0.10147075172439148,0.8964050337183588
71,sub-03,10,0.858336460812336,0.06278585329746408,0.8964050337183588
71,sub-03,20,0.9274902343966173,0.04175059638479353,0.8964050337183588
71,sub-03,40,0.9749381911060309,0.031356748650323334,0.8964050337183588
71,sub-03,80,1.0,0.02616935801666064,0.8964050337183588
71,sub-04,1,0.3515732131067959,0.41025689575601604,0.8451335648370977
71,sub-04,2,0.49520132166791314,0.20111311480931868,0.8451335648370977
71,sub-04,5,0.6700884965472224,0.08786643311333713,0.8451335648370977
71,sub-04,10,0.8027234013602063,0.05412786056533627,0.8451335648370977
71,sub-04,20,0.8918982111825301,0.03630714996829818,0.8451335648370977
71,sub-04,40,0.9608772912913588,0.027396923383566266,0.8451335648370977
71,sub-04,80,1.0,0.022797916905489355,0.8451335648370977
71,sub-05,1,0.3350638895013629,0.6541788774654015,0.8107999982252765
71,sub-05,2,0.4620917100528708,0.32492025598494956,0.8107999982252765
71,sub-05,5,0.63541080851459,0.14524155237825562,0.8107999982252765
71,sub-05,10,0.7626159701059351,0.08247552072331565,0.8107999982252765
71,sub-05,20,0.8773292761300974,0.051183691404461815,0.8107999982252765
71,sub-05,40,0.9525147776522688,0.03609301036104444,0.8107999982252765
71,sub-05,80,1.0,0.029007319371399165,0.8107999982252765
71,sub-06,1,0.3580621809945564,0.5152165532914623,0.83877728871796
71,sub-06,2,0.48830242278241764,0.2609087921584126,0.83877728871796
71,sub-06,5,0.6619108487900087,0.11587518332548633,0.83877728871796
71,sub-06,10,0.7947548943423928,0.06899123255384464,0.83877728871796
71,sub-06,20,0.8945318009888478,0.044806572859044824,0.83877728871796
71,sub-06,40,0.959934058792674,0.032813702253894864,0.83877728871796
71,sub-06,80,1.0,0.027047105893481124,0.83877728871796
71,sub-07,1,0.4562017851000207,0.47412413126596714,0.8944921711644848
71,sub-07,2,0.581847856529328,0.26980479958921083,0.8944921711644848
71,sub-07,5,0.7509368615166694,0.12250794736728483,0.8944921711644848
71,sub-07,10,0.8543906612686564,0.07777395629132762,0.8944921711644848
71,sub-07,20,0.9258146832588176,0.05413041017990907,0.8944921711644848
71,sub-07,40,0.9734886874141219,0.04208793075881942,0.8944921711644848
71,sub-07,80,1.0,0.03579473846307865,0.8944921711644848
71,sub-08,1,0.4343886161708584,0.521569969872084,0.8888210347322303
71,sub-08,2,0.5774709486658605,0.25983932740146687,0.8888210347322303
71,sub-08,5,0.7313732520694409,0.12783117368855526,0.8888210347322303
71,sub-08,10,0.8429162305123605,0.08085099007726046,0.8888210347322303
71,sub-08,20,0.9233398031127595,0.057237496131970045,0.8888210347322303
71,sub-08,40,0.9721391062903411,0.04674422155814614,0.8888210347322303
71,sub-08,80,1.0,0.040784817459620724,0.8888210347322303
71,sub-09,1,0.2599062017236941,0.5542928571433658,0.6852914912966565
71,sub-09,2,0.3556790490886124,0.28527023293021725,0.6852914912966565
71,sub-09,5,0.53172077595644,0.12155332695223202,0.6852914912966565
71,sub-09,10,0.6628819740650639,0.06669475646464579,0.6852914912966565
71,sub-09,20,0.8009045240388882,0.03934624192875344,0.6852914912966565
71,sub-09,40,0.919634172282293,0.026265970080057745,0.6852914912966565
71,sub-09,80,1.0,0.019558065399864266,0.6852914912966565
71,sub-10,1,0.44736423896562555,0.6555139590650789,0.8951630921779323
71,sub-10,2,0.5716177791837717,0.28192408463752816,0.8951630921779323
71,sub-10,5,0.7493687112328282,0.12178234676377642,0.8951630921779323
71,sub-10,10,0.8484201076802365,0.07531175906233607,0.8951630921779323
71,sub-10,20,0.9271877736190547,0.050822333086410154,0.8951630921779323
71,sub-10,40,0.9729845520255853,0.039651386820958374,0.8951630921779323
71,sub-10,80,1.0,0.03401965564330849,0.8951630921779323
101,sub-01,1,0.40462011720276814,0.7427874923424542,0.8614529889327767
101,sub-01,2,0.5290995548416018,0.29256964912816485,0.8614529889327767
101,sub-01,5,0.6952584220238021,0.11575846905212404,0.8614529889327767
101,sub-01,10,0.8160578469663412,0.06787709777661288,0.8614529889327767
101,sub-01,20,0.9049832268720961,0.04273293185119088,0.8614529889327767
101,sub-01,40,0.9652345745088876,0.029639204104667673,0.8614529889327767
101,sub-01,80,1.0,0.023748167386741254,0.8614529889327767
101,sub-02,1,0.3099517835485259,0.45342746049323374,0.767749791254663
101,sub-02,2,0.41180211115992743,0.2363831760638483,0.767749791254663
101,sub-02,5,0.5766612781255257,0.10547063513855974,0.767749791254663
101,sub-02,10,0.7244977396315662,0.05829903580741834,0.767749791254663
101,sub-02,20,0.8483290961888679,0.03536173976736868,0.767749791254663
101,sub-02,40,0.9406453942771591,0.025007704792410664,0.767749791254663
101,sub-02,80,1.0,0.019222357179936558,0.767749791254663
101,sub-03,1,0.439925710928355,0.4142848561929203,0.8964050337183588
101,sub-03,2,0.5773114063999278,0.22593739463730306,0.8964050337183588
101,sub-03,5,0.7515207274093387,0.10181741867667186,0.8964050337183588
101,sub-03,10,0.8585312685460138,0.0619529463039443,0.8964050337183588
101,sub-03,20,0.9300515051203407,0.040788472726560686,0.8964050337183588
101,sub-03,40,0.9746541619478835,0.031448526509796015,0.8964050337183588
101,sub-03,80,1.0,0.02616935801666064,0.8964050337183588
101,sub-04,1,0.4063540182094089,0.3450967668486929,0.8451335648370977
101,sub-04,2,0.4913465944535389,0.21851391008464893,0.8451335648370977
101,sub-04,5,0.6712973744533295,0.09242655596468667,0.8451335648370977
101,sub-04,10,0.7979887903093932,0.05518667704245496,0.8451335648370977
101,sub-04,20,0.8959540792312868,0.035920001612715344,0.8451335648370977
101,sub-04,40,0.9610091892414785,0.027373991215951424,0.8451335648370977
101,sub-04,80,1.0,0.022797916905489355,0.8451335648370977
101,sub-05,1,0.3536987313177751,0.608932778829246,0.8107999982252765
101,sub-05,2,0.45500996494339147,0.3251110087386825,0.8107999982252765
101,sub-05,5,0.6216770015209904,0.13970837209404474,0.8107999982252765
101,sub-05,10,0.7683343581319889,0.07980526827741909,0.8107999982252765
101,sub-05,20,0.872022653449394,0.05102589604270383,0.8107999982252765
